video_id	side	t_sec	game_idx	frame_idx	chain_count_off	chain_count_on	total_erased_off	total_erased_on	total_ojama_off	total_ojama_on
c127	1P	1662.10	24	99726	3	3	17	16	3	3
c127	2P	2170.13	32	130208	1	1	5	4	0	0
c128	1P	188.07	1	11284	1	0	4	0	0	0
c128	1P	188.70	1	11322	1	0	4	0	0	0
c128	1P	188.83	1	11330	1	0	4	0	0	0
c128	1P	189.70	1	11382	1	0	4	0	0	0
c128	1P	190.40	1	11424	1	0	4	0	0	0
c129	1P	203.20	1	6096	1	0	4	0	0	0
c129	1P	204.23	1	6127	1	1	6	5	0	0
c129	1P	204.50	1	6135	1	1	6	5	0	0
c129	1P	298.10	2	8943	1	1	5	4	1	1
c129	1P	1409.30	21	42279	1	0	4	0	0	0
c129	1P	2704.03	44	81121	1	1	5	4	0	0
c13	1P	2096.47	32	125788	1	1	10	9	0	0
c130	2P	1048.90	16	62934	1	1	5	4	1	1
c130	2P	1050.40	16	63024	1	1	5	4	1	1
c130	2P	1050.73	16	63044	1	1	5	4	1	1
c130	2P	1050.77	16	63046	1	1	6	5	1	1
c130	2P	1051.73	16	63104	1	1	6	5	1	1
c130	1P	3094.57	52	185674	1	1	5	4	0	0
c130	1P	3094.60	52	185676	1	1	5	4	0	0
c131	2P	2340.93	39	70228	1	0	4	0	0	0
c131	2P	2342.63	39	70279	1	0	4	0	0	0
c131	1P	2813.50	49	84405	1	0	4	0	4	0
c131	1P	2867.47	50	86024	1	1	9	5	2	2
c132	1P	1481.60	23	44448	1	0	4	0	0	0
c132	1P	1482.30	23	44469	1	0	4	0	0	0
c132	1P	1483.10	23	44493	1	0	4	0	0	0
c132	1P	1483.73	23	44512	1	0	4	0	0	0
c132	1P	1484.47	23	44534	1	0	4	0	0	0
c132	1P	1485.17	23	44555	1	0	4	0	0	0
c132	1P	1485.80	23	44574	1	0	4	0	0	0
c132	1P	1486.80	23	44604	1	0	4	0	0	0
c132	1P	1488.13	23	44644	1	0	4	0	0	0
c132	1P	1488.40	23	44652	1	0	4	0	0	0
c132	2P	2396.20	39	71886	1	0	4	0	0	0
c132	2P	2398.60	39	71958	1	0	4	0	0	0
